Treatment,Rep,Individual,Length
Control,1,1,20.592
Control,1,2,19.7
Control,1,3,19.923
Control,1,4,22.606
Control,1,5,22.254
Control,1,6,21.292
Control,2,1,18.121
Control,2,2,21.704
Control,2,3,17.859
Control,2,4,19.03
Control,2,5,18.251
Control,2,6,16.874
Control,3,1,19.974
Control,3,2,17.677
Control,3,3,21.491
Control,3,4,19.695
Control,3,5,19.959
Control,3,6,19.606
Control,4,1,20.424
Control,4,2,20.411
Control,4,3,18.309
Control,4,4,21.123
Control,4,5,20.734
Control,4,6,19.888
Control,5,1,19.606
Control,5,2,19.454
Control,5,3,20.423
Control,5,4,16.97
Control,5,5,19.786
Control,5,6,19.501
Control,6,1,19.591
Control,6,2,19.288
Control,6,3,17.736
Control,6,4,20.107
Control,6,5,21.386
Control,6,6,20.043
Iso,1,1,19.002
Iso,1,2,17.158
Iso,1,3,21.205
Iso,1,4,21.273
Iso,1,5,20.916
Iso,1,6,18.015
Iso,2,1,20.5
Iso,2,2,19.547
Iso,2,3,20.613
Iso,2,4,19.493
Iso,2,5,16.776
Iso,2,6,19.591
Iso,3,1,20.216
Iso,3,2,18.673
Iso,3,3,17.835
Iso,3,4,17.44
Iso,3,5,19.6
Iso,3,6,20.238
Iso,4,1,18.121
Iso,4,2,22.398
Iso,4,3,19.948
Iso,4,4,21.277
Iso,4,5,21.579
Iso,4,6,21.467
Iso,5,1,21.678
Iso,5,2,19.412
Iso,5,3,21.141
Iso,5,4,20.879
Iso,5,5,19.069
Iso,5,6,18.718
Iso,6,1,20.157
Iso,6,2,20.465
Iso,6,3,22.848
Iso,6,4,19.912
Iso,6,5,18.879
Iso,6,6,19.422
Per,1,1,19.697
Per,1,2,21.106
Per,1,3,20.468
Per,1,4,18.66
Per,1,5,18.163
Per,1,6,19.387
Per,2,1,18.823
Per,2,2,21.763
Per,2,3,21.319
Per,2,4,17.957
Per,2,5,23.421
Per,2,6,21.514
Per,3,1,22.291
Per,3,2,22.444
Per,3,3,22.43
Per,3,4,18.467
Per,3,5,22.407
Per,3,6,23.494
Per,4,1,19.428
Per,4,2,20.916
Per,4,3,23.37
Per,4,4,20.177
Per,4,5,21.031
Per,4,6,19.537
Per,5,1,19.605
Per,5,2,22.612
Per,5,3,23.665
Per,5,4,22.656
Per,5,5,22.113
Per,5,6,20.158
Per,6,1,21.766
Per,6,2,19.499
Per,6,3,20.448
Per,6,4,21.457
Per,6,5,21.202
Per,6,6,19.119
